primaryOfficeId,givenNames,familyName,systemRole,role,mobile,username,email,password
CRVS_OFFICE_007B3C3C19,Kalusha,Bwalya,FIELD_AGENT,Social Worker,0911111111,k.bwalya,deepak.dch@gmail.com,test
CRVS_OFFICE_007B3C3C19,Felix,Katongo,REGISTRATION_AGENT,Registration Agent,0922222222,f.katongo,deepakdc.h@gmail.com,test
CRVS_OFFICE_007B3C3C19,Kennedy,Mweene,LOCAL_REGISTRAR,Local Registrar,0933333333,k.mweene,deepakd.ch,test
CRVS_OFFICE_007B3C3C19,Emmanuel,Mayuka,LOCAL_SYSTEM_ADMIN,Local System Admin,0921681112,e.mayuka,deepa.kdch@gmail.com,test
CRVS_OFFICE_00E147F8AA,Jonathan,Campbell,NATIONAL_SYSTEM_ADMIN,National System Admin,0921111111,j.campbell,deepak.devadathan@oracle.com,test
CRVS_OFFICE_00A78CC9D9,Patrick,Gondwe,FIELD_AGENT,Local Leader,0912121212,p.gondwe,deep.akdch@gmail.com,test
CRVS_OFFICE_00A78CC9D9,Joshua,Mutale,REGISTRATION_AGENT,Registration Agent,0923232323,j.mutale,kalushabwa.lya17@gmail.com,test
CRVS_OFFICE_00A78CC9D9,Derrick,Bulaya,LOCAL_REGISTRAR,Local Registrar,0934343434,d.bulaya,kalushabw.alya17@gmail.com,test
CRVS_OFFICE_00A78CC9D9,Alex,Ngonga,LOCAL_SYSTEM_ADMIN,Local System Admin,0978787878,a.ngonga,kalushab.walya17@gmail.com,test
CRVS_OFFICE_00E147F8AA,Edgar,Kazembe,PERFORMANCE_MANAGEMENT,Performance Manager,0977777777,e.kazembe,dee.pakdch@gmail.com,test
CRVS_OFFICE_00E147F8AA,Joseph,Musonda,NATIONAL_REGISTRAR,National Registrar,0915151515,j.musonda,de.epakdch@gmail.com,test
